sku,categories,name,description,short_description
0.5TH-.5-.3125,,,,
0.5TH-.5-.375,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-.5-.375,,,,
0.5TH-.5-10MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-.5-10MM,,,,
0.5TH-.5-6MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-.5-6MM,,,,
0.5TH-.5-8MM,All Products 10% Off Target Holders,"0.5TH-.5-8MM 1/2"" TARGET HOLDERS","<p>The <strong>0.5TH</strong> series of magnetic adapters provide nests for 1/2"" diameter SMRs.  Shank diameters are held to very close tolerances for precision slip fits.  The adapter holds the centerpoint of a 0.5"" diameter SMR on centerline of the shank to a tolerance of ±0.0005"" (0.013 mm). </p>
<div>
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter SMR</p>
</div>",<p><strong>Ships in 1 Week</strong></p>
0.5TH-.5-8MM,,,,<p><strong>Ships in 2 Weeks</strong></p>
0.5TH-1-.25,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-1-.25,,,,
0.5TH-1-.3125,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-1-.3125,,,,
0.5TH-1-.375,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-1-.375,,,,
0.5TH-10MM-4MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-10MM-4MM,,,,
0.5TH-10MM-6MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-10MM-6MM,,,,
0.5TH-10MM-7MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-10MM-7MM,,,,
0.5TH-10MM-8MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-10MM-8MM,,,,
0.5TH-12MM-10MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-12MM-10MM,,,,
0.5TH-12MM-4MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-12MM-4MM,,,,
0.5TH-12MM-8MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-12MM-8MM,,,,
0.5TH-25MM-.375,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-25MM-.375,,,,
0.5TH-25MM-10MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-25MM-10MM,,,,
0.5TH-25MM-6MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-25MM-6MM,,,,
0.5TH-25MM-8MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-25MM-8MM,,,,
0.5THC-H-.5,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors","0.5"" TARGET HOLDER CLAMP - HOR","<h2>SMR retainers with vertical or horizontal freedom of motion</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">
<p>Our <strong>0.5THC-V</strong> (vertical) and <strong>0.5THC-H</strong> (horizontal) SMR retaining clamps gives you another way to protect those valuable SMRs from damage. Put the SMR in the target nest, then slip the retainer over the SMR. Then use the flat-tipped M2 set screws to secure the clamp to the target holder. The 0.5THC-H clamps allow the SMR to rotate horizontally, with a 200° range of motion. The 0.5THC-V clamps allow the SMR to rotate vertically, with a 90° range of motion (allowing the SMR to point straight up). All 0.5THC models fit 0.5"" SMRs, but the diameter of the pin nest must also be considered when choosing the desired model <em>(see table below)</em>. </p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""75px"">SMR Size</td>
<td class=""row1"" width=""200px"">Target Holder Diameter</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
</tbody>
</table>
</div><div><span>The 0.5THC-H <em>(shown below, left)</em> captures the SMR but allows it to rotate horizontally. The 0.5THC-V<em> (shown below, right)</em> captures the SMR but allows it to rotate vertically.</span></div>
<p style=""text-align: center;""><img class=""size-full wp-image-2697"" alt=""0.5THC-H and 0.5THC-V"" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5thc-h-and-0.jpg"" width=""284"" height=""213""></img></p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" colspan=""3"" align=""center""><strong>Physical Size</strong></td>
</tr>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Diameter</td>
<td class=""row1"" width=""125px"">Height</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
</tbody>
</table>

<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>0.5THC-.5 models retain a 0.5"" diameter SMR mounted in a nest having a 0.5"" diameter<br>0.5THC-.75 models retain a 0.5"" diameter SMR mounted in a nest having a 0.75"" diameter</br></p>
</div>","0.5"" TARGET HOLDER CLAMP - HOR"
0.5THC-H-.5,,,,
0.5THC-H-.75,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors","0.5"" TARGET HOLDER CLAMP - HOR","<h2>SMR retainers with vertical or horizontal freedom of motion</h2>
<div class=""tabs""></div>
<div id=""copy"" class=""tab"">
<p>Our <strong>0.5THC-V</strong> (vertical) and <strong>0.5THC-H</strong> (horizontal) SMR retaining clamps gives you another way to protect those valuable SMRs from damage. Put the SMR in the target nest, then slip the retainer over the SMR. Then use the flat-tipped M2 set screws to secure the clamp to the target holder. The 0.5THC-H clamps allow the SMR to rotate horizontally, with a 200&deg; range of motion. The 0.5THC-V clamps allow the SMR to rotate vertically, with a 90&deg; range of motion (allowing the SMR to point straight up). All 0.5THC models fit 0.5"" SMRs, but the diameter of the pin nest must also be considered when choosing the desired model <em>(see table below)</em>.&nbsp;</p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""75px"">SMR Size</td>
<td class=""row1"" width=""200px"">Target Holder Diameter</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
</tbody>
</table>
</div>
<div><span>The 0.5THC-H <em>(shown below, left)</em> captures the SMR but allows it to rotate horizontally. The 0.5THC-V<em> (shown below, right)</em> captures the SMR but allows it to rotate vertically.</span></div>
<p style=""text-align: center;""><img class=""size-full wp-image-2697"" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5thc-h-and-0.jpg"" alt=""0.5THC-H and 0.5THC-V"" width=""284"" height=""213"" /></p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" colspan=""3"" align=""center""><strong>Physical Size</strong></td>
</tr>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Diameter</td>
<td class=""row1"" width=""125px"">Height</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
</tbody>
</table>
<div id=""usedwith"" class=""tabs"">
<h4>May Be Used With</h4>
<p>0.5THC-.5 models retain a 0.5"" diameter SMR mounted in a nest having a 0.5"" diameter<br />0.5THC-.75 models retain a 0.5"" diameter SMR mounted in a nest having a 0.75"" diameter</p>
</div>","<p>0.5"" TARGET HOLDER CLAMP - HOR</p>"
0.5THC-H-.75,,,,
0.5THCP-12MM,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors",0.5 TARGET HOLDER CTR PUNCH,"<h2>Put a punch mark directly below your SMR location</h2>
<div class=""tabs"">
</div><div id=""copy"" class=""tab"">The <strong>0.5THCP</strong> magnetic adapter is an SMR nest which doubles as a transfer punch locator, allowing you to mark a point directly under the SMR. The magnet in the 0.5THCP is positioned to create a somewhat stronger bond on the bottom than on the top. This offset-magnet approach helps to hold the adapter in place while the SMR is removed and the transfer punch is inserted through the precision center hole. The center hole is true to the center of the SMR within ±0.001"" (±0.026mm). Outside diameter is knurled to provide a better grip. The transfer punch is included.</div>
<div class=""tab""><img class=""aligncenter wp-image-4851 size-full"" src=""{{store url=""""}}wp-content/uploads/Brunson-0.5THCP-laser-tracker-target-holder.jpg"" alt=""Laser tracker target holder, Brunson 0.5THCP"" width=""249"" height=""219""></img></div>
<div class=""tab"">
<table style=""width: 400px; margin: auto;"">
<tbody>
<tr>
<td class=""row1"">
</td></tr></tbody></table></div><div><strong>Model</strong></div>

<td class=""row1"">
<div style=""margin-left: auto; margin-right: auto;""><strong>Offset ""A""</strong></div>
</td>
<td class=""row1"">
<div style=""margin-left: auto; margin-right: auto;""><strong>Tolerance</strong></div>
</td>

<tr>
<td>
<div style=""margin-left: auto; margin-right: auto;"">0.5THCP-.5</div>
</td>
<td>0.5""</td>
<td>±0.001""</td>
</tr>
<tr>
<td>0.5THCP-12MM</td>
<td>12mm</td>
<td>±0.026mm</td>
</tr>



<div id=""usedwith"" class=""tabs"">
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter SMR <br>Transfer Punch 15344 (included)</br></p>
</div>
<div style=""height: 230px;""> </div>
<div id=""specs"" class=""tab"">
<h4>Specifications</h4>
<p><strong>Adapter size:</strong> .990"" (25.146mm) diameter<br> <strong>Offset tolerance:</strong> ±0.0015"" (±0.026mm)</br><br> <strong>Target centering tolerance:</strong> ±0.001""(±0.026mm)</br><br> <strong>Material:</strong> Stainless steel, machine finish</br><br> <strong>Hardness:</strong> HRC 42-45</br></p>
<p> </p>
</div>
<div id=""downloads"" class=""tab"">
<hr size=""1"">
<h4><img src=""{{store url=""""}}wp-content/uploads/2013/03/icon-pdf.gif"" alt=""PDF"" width=""16"" height=""16""> Download Drawing</img></h4>
<p class=""floatleft""><img class=""alignnone size-full wp-image-3920"" src=""{{store url=""""}}wp-content/uploads/Brunson-0.5THCP.gif"" alt=""Brunson 0.5THCP Drift Nest drawing"" width=""200"" height=""155""></img></p>
</hr></div>",0.5 TARGET HOLDER CTR PUNCH
0.5THCP-12MM,,,,
0.5THC-V-.5,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors","0.5"" TARGET HOLDER CLAMP - VER","<h2>SMR retainers with vertical or horizontal freedom of motion</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">
<p>Our <strong>0.5THC-V</strong> (vertical) and <strong>0.5THC-H</strong> (horizontal) SMR retaining clamps gives you another way to protect those valuable SMRs from damage. Put the SMR in the target nest, then slip the retainer over the SMR. Then use the flat-tipped M2 set screws to secure the clamp to the target holder. The 0.5THC-H clamps allow the SMR to rotate horizontally, with a 200° range of motion. The 0.5THC-V clamps allow the SMR to rotate vertically, with a 90° range of motion (allowing the SMR to point straight up). All 0.5THC models fit 0.5"" SMRs, but the diameter of the pin nest must also be considered when choosing the desired model <em>(see table below)</em>. </p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""75px"">SMR Size</td>
<td class=""row1"" width=""200px"">Target Holder Diameter</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
</tbody>
</table>
</div><div><span>The 0.5THC-H <em>(shown below, left)</em> captures the SMR but allows it to rotate horizontally. The 0.5THC-V<em> (shown below, right)</em> captures the SMR but allows it to rotate vertically.</span></div>
<p style=""text-align: center;""><img class=""size-full wp-image-2697"" alt=""0.5THC-H and 0.5THC-V"" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5thc-h-and-0.jpg"" width=""284"" height=""213""></img></p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" colspan=""3"" align=""center""><strong>Physical Size</strong></td>
</tr>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Diameter</td>
<td class=""row1"" width=""125px"">Height</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
</tbody>
</table>

<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>0.5THC-.5 models retain a 0.5"" diameter SMR mounted in a nest having a 0.5"" diameter<br>0.5THC-.75 models retain a 0.5"" diameter SMR mounted in a nest having a 0.75"" diameter</br></p>
</div>","0.5"" TARGET HOLDER CLAMP - VER"
0.5THC-V-.5,,,,
0.5THC-V-.75,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors","0.5"" TARGET HOLDER CLAMP - VER","<h2>SMR retainers with vertical or horizontal freedom of motion</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">
<p>Our <strong>0.5THC-V</strong> (vertical) and <strong>0.5THC-H</strong> (horizontal) SMR retaining clamps gives you another way to protect those valuable SMRs from damage. Put the SMR in the target nest, then slip the retainer over the SMR. Then use the flat-tipped M2 set screws to secure the clamp to the target holder. The 0.5THC-H clamps allow the SMR to rotate horizontally, with a 200° range of motion. The 0.5THC-V clamps allow the SMR to rotate vertically, with a 90° range of motion (allowing the SMR to point straight up). All 0.5THC models fit 0.5"" SMRs, but the diameter of the pin nest must also be considered when choosing the desired model <em>(see table below)</em>. </p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""75px"">SMR Size</td>
<td class=""row1"" width=""200px"">Target Holder Diameter</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.5""</td>
<td>0.5""</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>0.5""</td>
<td>0.75""</td>
</tr>
</tbody>
</table>
</div><div><span>The 0.5THC-H <em>(shown below, left)</em> captures the SMR but allows it to rotate horizontally. The 0.5THC-V<em> (shown below, right)</em> captures the SMR but allows it to rotate vertically.</span></div>
<p style=""text-align: center;""><img class=""size-full wp-image-2697"" alt=""0.5THC-H and 0.5THC-V"" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5thc-h-and-0.jpg"" width=""284"" height=""213""></img></p>
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" colspan=""3"" align=""center""><strong>Physical Size</strong></td>
</tr>
<tr>
<td class=""row1"" width=""100px"">Model</td>
<td class=""row1"" width=""125px"">Diameter</td>
<td class=""row1"" width=""125px"">Height</td>
</tr>
<tr>
<td>0.5THC-V-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.5</td>
<td>0.75"" (19 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
<tr>
<td>0.5THC-V-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.5"" (12.7 mm)</td>
</tr>
<tr>
<td>0.5THC-H-.75</td>
<td>1"" (25.4 mm)</td>
<td>0.69"" (17.5 mm)</td>
</tr>
</tbody>
</table>

<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>0.5THC-.5 models retain a 0.5"" diameter SMR mounted in a nest having a 0.5"" diameter<br>0.5THC-.75 models retain a 0.5"" diameter SMR mounted in a nest having a 0.75"" diameter</br></p>
</div>","0.5"" TARGET HOLDER CLAMP - VER"
0.5THC-V-.75,,,,
0.5THDN,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors,All Products 10% Off Target Holders",0.5THDN Drift Nest,"<h2>Put temporary targets on just about anything</h2>
<div>The&nbsp;<strong>0.5THDN</strong>&nbsp;drift nest provides a temporary, magnetic laser tracker target&nbsp;adapter in almost any location and on almost any surface. Use any general adhesive (we often use a hot glue gun) to attach these adapters temporarily to machine tools, concrete floors and pillars, posts, stands, or just about anything else that is available. Note that the magnet is meant to secure the laser tracker target to the adapter, but is not meant to hold the adapter to the surface on which it sits. When you're finished, remove the adapter and you're on your way to your next assignment. Works with a 0.5"" diameter laser tracker target.</div>
<div><img class=""aligncenter size-full wp-image-475"" style=""display: block; margin-left: auto; margin-right: auto;"" title=""0"" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5THDN_dwg.jpg"" alt="""" width=""214"" height=""229"" /></div>
<div>
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter&nbsp;laser tracker target</p>
</div>",<strong>Ships in 1 Week</strong>
0.5THDN,,,,
0.5THDN-T,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Target Holders For 0.5"" Reflectors,All Products 10% Off Target Holders",0.5THDN-T Drift Nest,"<h2>Drift nest with extra tie-down security</h2>
<div>The <strong>0.5THDN-T</strong> drift nest provides a temporary, magnetic laser tracker target adapter in almost any location and on almost any surface. Use any general adhesive (we often use a hot glue gun) to attach these adapters temporarily to machine tools, concrete floors and pillars, posts, stands, or just about anything else that is available. A groove cut around the perimeter of the base allows for the addition of a customer-provided tie down, if desired, for extra security (great for FOD-critical areas). Works with a 0.5"" diameter laser tracker target. </div>
<div style=""text-align: center;""><img title=""0.5THDN-T"" src=""{{store url=""""}}wp-content/uploads/2013/03/0_5THDN-T_dwg.jpg"" alt=""0.5THDN-T"" width=""190"" height=""222"" /></div>
<div><br />
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter laser tracker target</p>
</div>",<p><strong>Ships in 1 Week</strong></p>
0.5THDN-T,,,,
0.5THE-M-.5,,0.5THE-M-.5,,"0.5"" TH EDGE MAG"
0.5THE-M-.5,,,,
0.5THE-M-12MM,,0.5THE-M-12MM,,"0.5"" TH EDGE MAG"
0.5THE-M-12MM,,,,
0.5TH-M-.5-.25,,0.5TH-M-.5-.25,,0.5 TH MAG
0.5TH-M-.5-.25,,,,
0.5TH-M-10MM-10MM,,0.5TH-M-10MM-10MM,,0.5 TH MAG
0.5TH-M-10MM-10MM,,,,
0.5TH-M-10MM-12MM,,0.5TH-M-10MM-12MM,,0.5 TH MAG
0.5TH-M-10MM-12MM,,,,
0.5TH-M-10MM-6MM,,0.5TH-M-10MM-6MM,,0.5 TH MAG
0.5TH-M-10MM-6MM,,,,
0.5TH-M-10MM-8MM,,0.5 TARGET HOLDERS,,0.5 TH MAG
0.5TH-M-10MM-8MM,,,,
0.5TH-M-12MM-12MM,,0.5TH-M-12MM-12MM,,0.5 TH MAG
0.5TH-M-12MM-12MM,,,,
0.5TH-M-12MM-5MM,,0.5TH-M-12MM-5MM,,0.5 TH MAG
0.5TH-M-12MM-5MM,,,,
0.5TH-M-12MM-6MM,,0.5TH-M-12MM-6MM,,0.5 TH MAG
0.5TH-M-12MM-6MM,,,,
0.5TH-M-12MM-8MM,,0.5 TARGET HOLDERS,,0.5 TH MAG
0.5TH-M-12MM-8MM,,,,
